"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "JSON with Comments", "CSS", "JSON", "HTML", "Prisma", "Markdown", "comment", "blank", "total"
"/Users/max/Documents/Code/mastela-site/src/server/api/routers/properties.ts", "TypeScript", 0, 188, 0, 0, 0, 0, 0, 0, 0, 10, 27, 225
"/Users/max/Documents/Code/mastela-site/src/server/api/stripe.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/max/Documents/Code/mastela-site/src/server/api/trpc.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 56, 10, 95
"/Users/max/Documents/Code/mastela-site/src/server/db.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/max/Documents/Code/mastela-site/src/server/sanityClient.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/max/Documents/Code/mastela-site/src/styles/globals.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/max/Documents/Code/mastela-site/src/utils/api.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 32, 6, 68
"/Users/max/Documents/Code/mastela-site/src/utils/endpoints/fetchProperties.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/max/Documents/Code/mastela-site/src/utils/functions/dates/formatDateEnglish.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/max/Documents/Code/mastela-site/src/utils/functions/formatCurrency.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/Users/max/Documents/Code/mastela-site/src/utils/functions/functions.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/max/Documents/Code/mastela-site/src/utils/functions/getUrlParams.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/max/Documents/Code/mastela-site/src/utils/functions/urlFor.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/max/Documents/Code/mastela-site/tailwind.config.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/max/Documents/Code/mastela-site/tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 0, 9, 0, 34
"/Users/max/Documents/Code/mastela-site/types.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 4066, 804, 92, 25, 21, 11313, 169, 21, 17, 316, 473, 17317
